News_Title	Description	Date	Article_URL
UPSC Key: Union Budget 2025, Makhananomics and PM Dhan-Dhaanya scheme	How is the Union Budget 2025 relevant to the UPSC exam? What significance do topics like the PM Dhan-Dhaanya scheme, Neighbourhood First policy, and small nuclear reactors have for both the preliminary and main exams? You can learn more by reading the Indian Express UPSC Key for February 2, 2025.	February 2, 2025	https://indianexpress.com/article/upsc-current-affairs/upsc-key-union-budget-2025-makhananomics-and-pm-dhan-dhaanya-scheme-9813266/
India, Indonesia share motto of "unity in diversity": PM Modi inaugurates Murugan temple	Noting that the Murugan Temple in Jakarta houses not only Lord Murugan but also various other deities, Modi said that diversity and plurality form the foundation of our culture.	February 2, 2025	https://indianexpress.com/article/india/india-indonesia-unity-pm-modi-murugan-temple-jakarta-9813634/
Why is Pashmina, the ‘Soft Gold,’ important for UPSC Exam?	Pashmina, known as "soft gold," has represented luxury and prestige since the Mughal era. In today's knowledge nugget, learn about its legacy. Also, get to know about the geographical indication and the GI-tagged products that made headlines in 2024.	Updated: February 2, 2025	https://indianexpress.com/article/upsc-current-affairs/upsc-essentials/knowledge-nugget-why-is-pashmina-the-soft-gold-important-for-the-upsc-prelims-2025-9807713/
Why was KCR away? BRS chief plans ‘comeback’ after long absence from public eye	Even former Telangana CM says he will address a rally later this month, Revanth Reddy, Congress allege his party has a “tacit understanding” with BJP.	February 2, 2025	https://indianexpress.com/article/political-pulse/brs-chief-kcr-plans-comeback-after-long-absence-telangana-9813592/
Thaw in Mamata Banerjee govt"s ties with Governor: Ananda Bose"s speech to mark beginning of Bengal Budget Session	Last year, the West Bengal Assembly's Budget Session did not feature Governor Ananada Bose's inaugural address. 	February 2, 2025	https://indianexpress.com/article/cities/kolkata/west-bengal-budget-session-governor-ananda-bose-speech-9813599/
Maharashtra to set up country"s first AI university	The university will promote research and development in AI and related fields and will be a centre of excellence, encouraging collaboration between the industry, academia and government	Updated: February 2, 2025	https://indianexpress.com/article/education/maharashtra-to-set-up-countrys-first-ai-university-9813324/
Will schools, colleges be closed in Delhi on February 5? 	Delhi Assembly Elections 2025: On the election day, various schools and colleges participate in the election process and are declared as polling booths.	Updated: February 2, 2025	https://indianexpress.com/article/education/delhi-elections-schools-colleges-be-closed-february-5-assembly-elections-bjp-aap-congres-9813526/
"Job prospects for Indian graduates in the UK have not declined": University of Birmingham VCProvost	The University of Birmingham has seen a 10-fold increase in the numbers of Indian students over the last decade – making up a relatively small percentage of the diverse international community, which currently comprises of more than 8,000 students from over 150 countries.	Updated: February 2, 2025	https://indianexpress.com/article/education/study-abroad/job-prospects-for-indian-graduates-in-the-uk-have-not-declined-university-of-birmingham-vcprovost-9811625/
IISER Application 2025: Registration to start on March 5 at iiseradmission.in; check dates	IISER Application 2025: The registration for the entrance exam will start on March 5 and end on April 15. The exam will be conducted on May 25.	Updated: February 2, 2025	https://indianexpress.com/article/education/iiser-application-2025-registration-to-start-on-march-5-iiseradmission-in-9813262/
TS Board Exams 2025: Inter practical exam admit card out at tsbie.cgg.gov.in	TS Board Exams 2025: Students can now access and download their hall tickets from the official TSBIE website: tsbie.cgg.gov.in.	Updated: February 2, 2025	https://indianexpress.com/article/education/ts-board-exams-2025-inter-practical-exam-admit-card-out-tsbie-cgg-gov-in-9813146/
Life at IIT Bombay is a perfect blend of excitement and chaos, says Manas Gupta	'To thrive, I have learned to prioritise time management, balancing academics and extracurricular activities. But it is not all about books and schedules – late-night escapades with friends to cafes, canteens, and the lakeside offer a refreshing escape,' 18-year old Manas Gupta tells.	Updated: February 2, 2025	https://indianexpress.com/article/education/life-in-an-iit-bombay-perfect-blend-of-excitement-chaos-jee-main-2025-advanced-metallurgical-engineering-materials-sciences-department-btech-9811811/
Udit Narayan justifies kissing female fans at concert yet again: "I feel sorry for people who see something dirty in my act of pure affection"	Expressing that he feels no embarrassment or shame, Udit Narayan claimed his gesture of kissing female fans was one of "pure affection" and not sleazy behaviour.	Updated: February 2, 2025	https://indianexpress.com/article/entertainment/music/udit-narayan-justifies-kissing-female-fans-at-concert-yet-again-it-is-not-something-sleazy-or-secret-9813207/
Mumbai and Pune, look up tonight; the International Space Station will be visible to naked eye	A must-observe event for Mumbai and Pune residents.	Updated: February 2, 2025	https://indianexpress.com/article/technology/science/international-space-station-will-be-visible-to-naked-eye-mumbai-pune-9813457/
Solving Crime: Falsely arrested for rape-murder of his wife, how a Bengaluru man’s 11-year quest for justice bore fruit	Call detail records, brain mapping and luminol tests helped the police crack the 2013 rape-murder of the 43-year-old woman with the arrest of three men, including the former manager of the bank where her husband worked. 	Updated: February 2, 2025	https://indianexpress.com/article/cities/bangalore/solving-crime-husband-falsely-arrested-bengaluru-woman-rape-murder-legal-fight-accused-9813239/
Declare Kerala backward for higher Budget allocation: Union minister’s response to state’s complaints triggers another storm	Pointing to the poor allocation of funds for the state, the Kerala government has alleged that the state is being punished for making great strides in social indicators such as health, education and population control.	Updated: February 2, 2025	https://indianexpress.com/article/india/declare-kerala-backward-higher-budget-allocation-george-kurian-9813467/
"I think this is really scandalous": Heerenveen manager Robin Van Persie blasts officials after opponent Fortuna Sittard are allowed to play with 12 men	When he was asked what he wanted to be done, the former Dutch striker called for the goal to be struck off, labelling the situation 'scandalous.'	Updated: February 2, 2025	https://indianexpress.com/article/sports/football/heerenveen-fortuna-sittard-12-men-robin-van-persie-scandalous-9813538/
Rohit Sharma talks about school runs, Jemimah Rodrigues speaks of her current favourite song to sing	Chatting with Smriti Mandhana on the stage at the black tie &amp; dress event, Rohit Sharma told the Indian vice captain, about his routine when at home.	February 2, 2025	https://indianexpress.com/article/sports/cricket/rohit-sharma-jemimah-rodrigues-chat-bcci-awards-2025-mumbai-video-9813566/
In Moti Nagar, a BJP leader makes his poll debut: Meet Harish Khurana, son of ‘Dilli ka sher’ Madan Lal	Ahead of Harish lies the task of taking back Moti Nagar, which he calls “Khurana ji ka karmkshetra (Khurana ji’s field of influence and work)”, from sitting AAP MLA and party's candidate Shivcharan Goyal.	February 2, 2025	https://indianexpress.com/article/cities/delhi/delhi-assembly-polls-moti-nagar-madan-lal-son-harish-khurana-debut-9813554/
How to scan and remove "bad actors" from your Android smartphone	Google Play Protect can identify and remove harmful apps from your Android smartphone.	Updated: February 2, 2025	https://indianexpress.com/article/technology/mobile-tabs/scan-and-remove-bad-apps-malware-google-play-protect-9813229/
Massive police security cover for Saraswati Puja at law college after Calcutta High Court order	During a visit to Jogesh Chandra Chaudhuri College by Education Minister Bratya Basu and Trinamool Congress MP Mala Roy, law students expressed their desire to discuss issues regarding safety and security on the college campus.	February 2, 2025	https://indianexpress.com/article/cities/kolkata/police-saraswati-puja-law-college-calcutta-high-court-9813543/
Galaxy S25 or iPhone 16: Which compact powerhouse should you pick?	Galaxy S25 vs iPhone 16 Comparison: A look at key differences in software, AI features, and overall user experience of the new Samsung Galaxy S25 and iPhone 16.	Updated: February 2, 2025	https://indianexpress.com/article/technology/mobile-tabs/samsung-galaxy-s25-vs-apple-iphone-16-9812968/
Ranji Trophy: Services record second-highest chase, openers set unbeaten 376-run partnership	Ranji Trophy: In a chase that began on day three, the Services team were led by a record-breaking 376-run opening stand by openers Shubham Rohilla and Suraj Vashisht who put on an unbeaten partnership lasting 85.4 overs. 	Updated: February 2, 2025	https://indianexpress.com/article/sports/cricket/ranji-trophy-services-record-2nd-highest-chases-openers-partnership-9813471/
From worries over weddings to classes going online, an elusive ‘sugarcane tiger’ turns life upside down in 11 villages near Lucknow	First sighted in December 2024, a big cat continues to evade all traps laid down by the state forest department	Updated: February 2, 2025	https://indianexpress.com/article/long-reads/tiger-villages-lucknow-uttar-pradesh-9812891/
What happens if Gukesh and Praggnanandhaa end up with the same points today? We explain	Here are what the tiebreak rules state at Tata Steel Masters with Gukesh and Praggnanandhaa tied on 8.5 points with one game left (and with Nodirbek Abdusattarov one point behind).	February 2, 2025	https://indianexpress.com/article/sports/chess/tiebreak-scenarios-gukesh-praggnanandhaa-same-points-tata-steel-chess-9813530/
IND vs ENG 5th T20I Predicted Playing 11: Harshit Rana, Mohammed Shami in India Playing XI	India vs England, IND vs ENG 5th T20I Predicted Playing 11 Today Match, Squad, Players List: With the fate of the series already sealed, there could be a couple of surprises in the fifth game.	Updated: February 2, 2025	https://indianexpress.com/article/sports/cricket/ind-vs-eng-5th-t20i-predicted-playing-11-harshit-rana-mohammed-shami-india-9812442/
India vs England 5th T20I Live Cricket Score Streaming: When and where to watch IND vs ENG Mumbai match today?	India vs England, IND vs ENG 5th T20I Live Score Streaming Online &amp; Telecast Channel: The LIVE telecast of the fifth T20I match between IND vs ENG can be watched on the Star Sports network and live stream can be watched on the Hotstar website and app.	Updated: February 2, 2025	https://indianexpress.com/article/sports/cricket/india-vs-england-5th-t20i-live-cricket-score-streaming-9812946/
IND vs ENG 5th T20I Pitch Report, Weather: Dew set to play a big role at Wankhede Stadium	India vs England, IND vs ENG 5th T20I Wankhede Stadium Pitch Report And Mumbai Weather Forecast Today Match: India will take on England for the fifth and final match of the series at the Wankhede Stadium in Mumbai. 	Updated: February 2, 2025	https://indianexpress.com/article/sports/cricket/ind-vs-eng-5th-t20i-pitch-report-weather-dew-set-to-play-a-big-role-at-wankhede-stadium-9812984/
Surge in ultra-rich candidates in Delhi Assembly elections, 5 have over Rs 100 crore assets: Report	BJP candidates have the highest average wealth, at Rs 22.90 crore, followed by the Congress at Rs 14.41 and the AAP at Rs 11.70 crore, according to the report by the Association for Democratic Reforms.	Updated: February 2, 2025	https://indianexpress.com/article/cities/delhi/delhi-assembly-elections-ultra-rich-candidates-5-100-crore-assets-report-9813367/
Who are the 8 AAP MLAs who jumped ship: From Arvind Kejriwal loyalists to rebels	Resigning from AAP, the legislators make identical allegations against Kejriwal and the party, accusing them of “corruption” and “deviation from AAP's founding principles”	Updated: February 2, 2025	https://indianexpress.com/article/political-pulse/kejriwal-aap-rebels-meet-mlas-bjp-delhi-polls-9812880/
Grammy Awards 2025 Live Streaming: When and where to watch the 67th Annual Grammy Awards	Grammy Awards 2025 Live Telecast in India: The 67th GRAMMY Awards will be live-streamed in India on Disney Plus Hotstar on Monday.	February 2, 2025	https://indianexpress.com/article/entertainment/music/grammy-awards-2025-live-streaming-when-and-where-to-watch-the-67th-annual-grammy-awards-live-stream-9813517/
Budget big picture: Context of historic tax cut, what impact it may have on the economy	The large cuts in income tax is an acceptance from the government that its corporate tax cut of 2019 has not worked. Had the sequencing been reversed — IT cut first, corporate tax cut later — the results may have been different	Updated: February 2, 2025	https://indianexpress.com/article/explained/explained-economics/budget-big-picture-context-of-historic-tax-cut-what-impact-it-may-have-on-the-economy-9812566/
Nil tax on income up to Rs 12 lakh: Some call it a game-changer, others say it will boost disposable income	However, some are confused about the tax they will have to pay if the salary goes beyond Rs 12 lakh.	Updated: February 2, 2025	https://indianexpress.com/article/cities/pune/union-budget-rs-12-lakh-nil-tax-game-changer-boost-disposable-income-9813494/
Hardik Pandya to Jemimah Rodrigues: "Sometimes you have to control power-hitting, can"t go overboard"	With India's top men's and women's stars trading secrets on stage at the BCCI awards on Saturday, Hardik Pandya also offered an insight into some pet peeves. 	Updated: February 2, 2025	https://indianexpress.com/article/sports/cricket/hardik-pandya-power-hitting-jemimah-rodrigues-bcci-awards-2025-9813501/
3 "Budget 2025" prepaid recharge plans from Jio with maximum benefits	These are the most valued monthly, quarterly, and annual recharge plans from Jio.	February 2, 2025	https://indianexpress.com/article/technology/tech-news-technology/3-budget-prepaid-recharge-plans-from-jio-2025-9813509/
Prakash Raj complains against activist for sharing AI-generated image of him taking dip at Mahakumbh: "People are creating religious divides"	The deleted Facebook post with Prakash Raj's AI-generated image said, "Hope all his sins are forgiven and removed."	February 2, 2025	https://indianexpress.com/article/cities/bangalore/prakash-raj-police-complains-activist-ai-image-mahakumbh-9813475/
‘You can’t start a monologue during a panel discussion’: MK Raina on walking off JLF stage	Raina says that his co-panellist, actor and singer Ila Arun, dominated a majority of the discussion with a performance of her play, leaving him little time to speak	February 2, 2025	https://indianexpress.com/article/books-and-literature/mk-raina-on-walking-off-jlf-stage-9813508/
‘You can’t start a monologue during a panel discussion’: MK Raina on walking off JLF stage	Raina says that his co-panellist, actor and singer Ila Arun, dominated a majority of the discussion with a performance of her play, leaving him little time to speak	February 2, 2025	https://indianexpress.com/article/books-and-literature/mk-raina-on-walking-off-jlf-stage-9813508/
Under a thousand: A power bank with some wireless charging speed up its sleeve	Compact, stylish, and budget-friendly, it’s an excellent choice for those who need reliable power on the go.	February 2, 2025	https://indianexpress.com/article/technology/techook/ambrane-aerosync-snap-magsafe-powerbank-review-9813497/
Dior Men’s designer departs, leaving unanswered questions	Jones’ imprint on Dior was considerable. His first official design for the label was a genteel morning coat and pants worn by David Beckham to the wedding of Prince Harry and Meghan Markle. It was quite a way to get the public’s attention.	February 2, 2025	https://indianexpress.com/article/lifestyle/fashion/dior-mens-designer-departs-leaving-unanswered-questions-9813495/
Ananya Panday wears blouse, "phoolon ki chaddar" inspired moon veil that took 10 women 7 days to make	Harshita Gautam, founder of the brand, shared that the 'moon veil' was inspired by the traditional ‘phoolon ki chaddar’ and includes "over 800 hand-rolled white Chanderi flowers tucked by hand on a spread of ivory pearl moti"	Updated: February 2, 2025	https://indianexpress.com/article/lifestyle/fashion/ananya-panday-florals-for-spring-wears-gajra-blouse-phoolon-ki-chaddar-inspired-moon-veil-took-10-women-7-days-to-make-9796591/
Bharti Singh recalls breaking down when Shah Rukh Khan dressed up as Lalli: ‘I came from a poor family in Amritsar, and he just did what I asked’	Bharti Singh opened up about the time Shah Rukh Khan dressed up as her famous child character of 'Lalli' and why it made her emotional.	Updated: February 2, 2025	https://indianexpress.com/article/entertainment/bollywood/bharti-singh-recalls-breaking-down-when-shah-rukh-khan-dressed-up-as-lalli-9813436/
Delhi Assembly elections: Justice (retd) S N Dhingra moves high court challenging data collection, sop announcement by parties	Justice (Retd) Dhingra had first made headlines as a trial court judge, awarding the death sentence to Parliament attack accused Afzal Guru.	February 2, 2025	https://indianexpress.com/article/cities/delhi/delhi-assembly-elections-political-parties-9813447/
Swara Bhasker draws parallels to body shaming Aishwarya Rai faced after giving birth to Aaradhya: "A less gracious person would have been angry"	Actor Swara Bhasker too is no stranger to body shaming and has been dealing with it since giving birth to her daughter in 2023.	February 2, 2025	https://indianexpress.com/article/entertainment/bollywood/swara-bhasker-draws-parallels-to-body-shaming-aishwarya-rai-faced-after-giving-birth-to-aaradhya-9813351/
Ranji Trophy 2025 knockout schedule: Qualified teams, quarterfinal lineups, date, venue	Ranji Trophy 2024-25 knockouts: The Indian Express brings you the complete quarterfinal line-up, schedule and dates for the matches to be held in the knockout phase of the Ranji Trophy season.	Updated: February 2, 2025	https://indianexpress.com/article/sports/cricket/ranji-trophy-2025-knockout-quarterfinal-schedule-teams-date-9811280/
Bride"s father calls off wedding after Delhi groom dances to "Choli Ke Peeche Kya Hai"	According to reports, the bride was left in tears while the groom attempted to explain to her father that it was all in good fun.	Updated: February 2, 2025	https://indianexpress.com/article/trending/trending-in-india/bride-father-calls-off-wedding-after-delhi-groom-dances-to-choli-ke-peeche-kya-hai-9813460/
Five killed as militants attack paramilitary personnel"s vehicle in Pakistan	The incident happened in Dera Ismail Khan district bordering South Waziristan.	February 2, 2025	https://indianexpress.com/article/pakistan/pakistan-militants-attack-paramilitary-personnel-9813446/
In Our Opinion: Education reforms need to give teachers their due	Post-Covid recovery in learning, highlighted by ASER report, is a tribute to teachers. They need to be empowered, given proper training and resources	Updated: February 2, 2025	https://indianexpress.com/article/opinion/columns/education-reforms-teachers-due-9813422/
From vivo V50 to iQOO Neo 10R: 5 mid-range phones launching in February	The next wave of mid-range smartphones is just around the corner.	Updated: February 2, 2025	https://indianexpress.com/article/technology/mobile-tabs/vivo-v50-to-iqoo-neo-10r-5-mid-range-phones-launching-in-february-9813435/
U19 cricket world champion Trisha"s tale: How a father buying a plastic bat for his 2-yr-old daughter started a dream	Rami Reddy started training Trisha from the age of two, planned her diet and built a pitch to train her quitting his job, culminating in her U19 all-round heroics - 3 wickets, 44 runs to beat South Africa U19.	Updated: February 2, 2025	https://indianexpress.com/article/sports/cricket/trisha-gongadi-story-father-dream-u19-world-cup-2025-india-champion-9813406/
DeepSeek decoded: 5 myths and realities about the Chinese AI startup’s rise	The excitement around DeepSeek is giving way to scrutiny, with questions emerging about how its AI models were built and their broader impact.	Updated: February 2, 2025	https://indianexpress.com/article/explained/explained-sci-tech/deepseek-decoded-98121340/
India vs South Africa Women"s U-19 T20 World Cup Final, LIVE Cricket Score: IND-W beat SA-W by nine wickets in Kuala Lumpur	India Women vs South Africa Women (IND-W vs SA-W) U-19 T20I World Cup Final Live Cricket Score Online Updates: Gongadi Trisha was the pick of the bowlers for India with three wickets and also top scorer with 44 runs in 83 runs	Updated: February 2, 2025	https://indianexpress.com/article/sports/cricket/india-women-vs-south-africa-women-u19-t20-world-cup-final-live-cricket-score-today-match-live-scorecard-online-9813029/
Tavleen Singh writes: Welfare schemes may win elections but do very little to make India a developed country	When I see real economic reforms replaced today by populist welfare schemes that do no more than fling money at people just before elections come along, I begin to truly despair.	Updated: February 2, 2025	https://indianexpress.com/article/opinion/columns/tavleen-singh-writes-dreaming-of-development-9812479/
Hours at office, a lifetime of staring	As per those unfortunate choice of words by Larsen &amp; Toubro Ltd Chairman and Managing Director S N Subrahmanyan (in an internal chat with employees, to be fair), giving office just this much time a week should leave husbands and wives more time to “stare at each other” on off days.	Updated: February 2, 2025	https://indianexpress.com/article/opinion/columns/hours-at-office-a-lifetime-of-staring-9812481/
King George V’s visit to India, a printing press and a leak: Why the Budget is a well-kept secret in India	A former civil servant and the first Indian to become the Reserve Bank of India (RBI) Governor, he became Finance Minister in 1950. As the country’s Finance Minister, Deshmukh piloted five Budgets. On the evening of February 29, 1956, he presented the sixth one before his Lok Sabha colleagues.	Updated: February 2, 2025	https://indianexpress.com/article/opinion/columns/king-george-vs-visit-to-india-a-printing-press-and-a-leak-why-the-budget-is-a-well-kept-secret-in-india-9812480/
Budget 2025: Only tinkering, no vision	It needed to signal a paradigm shift. It didn't	Updated: February 2, 2025	https://indianexpress.com/article/opinion/columns/budget-2025-only-tinkering-no-vision-9812475/
Women’s U-19 T20 World Cup Final: India beat South Africa to win the title	India defeated South Africa by nine wickets in the final. 	February 2, 2025	https://indianexpress.com/article/sports/cricket/womens-u-19-t20-world-cup-final-india-beat-south-africa-to-win-the-title-9813381/
What happens to the body when you eat a ramphal (netted custard apple) every day?	Even though this fruit offers several potential health benefits, it is essential to consume it as part of a balanced diet.	February 2, 2025	https://indianexpress.com/article/lifestyle/food-wine/what-happens-to-the-body-when-you-eat-a-ramphal-every-day-9798354/
Budget’s balancing act — and its costs	Budget made encouraging starts on some fronts. But only sustained reforms will alleviate trade-off between macroeconomic stability and growth	Updated: February 2, 2025	https://indianexpress.com/article/opinion/columns/budgets-balancing-act-and-its-costs-9812486/
Weekly Horoscope 2nd February to 8th February, 2025: Aries, Libra, Leo and other signs — check astrological predictions	Weekly Horoscope February 2nd to 8th, 2025: Aries embraces change, Taurus stands on the brink of something big, and Gemini sees family improvement. 	Updated: February 2, 2025	https://indianexpress.com/article/horoscope/weekly-horoscope-2nd-february-to-8th-february-2025-aries-libra-leo-and-other-signs-check-astrological-predictions-9813378/
Railway line proposed to enhance connectivity to new Pune airport	The proposed line is from the Rajewadi railway station to the international airport to be set up at Purandar in Pune.	February 2, 2025	https://indianexpress.com/article/cities/pune/railway-line-pune-airport-9813376/
Shraddha Kapoor reveals dad Shakti Kapoor is the "life of the party": "He commands a room when he enters"	Shraddha Kapoor fondly recalled how her father, Shakti Kapoor, has always been "the life of the party" and how he naturally commands any room he enters.	February 2, 2025	https://indianexpress.com/article/entertainment/bollywood/shraddha-kapoor-reveals-dad-shakti-kapoor-is-the-life-of-the-party-9813346/
Mumbai ‘RTI activist’ and ex-corporator among 4 held in Rs 10-crore extortion case: police	According to the builder, when he offered Rs 25 lakh, former Shiv Sena (UBT) corporator Swapnil Bandekar Bandekar became angry and threatened to kill him.	February 2, 2025	https://indianexpress.com/article/cities/mumbai/mumbai-rti-activist-ex-corporator-held-rs-10-crore-extortion-case-police-9813372/
Aamir Khan watches Ashish Chanchlani’s directorial debut, netizens react: ‘Ranchordas Innocent Chanchlani’	The viral video shows Chanchlani giving a sneak peek of his upcoming project to Khan, who can’t help but laugh.	February 2, 2025	https://indianexpress.com/article/trending/trending-in-india/aamir-khan-watches-ashish-chanchlani-directorial-debut-netizens-react-ranchordas-innocent-chanchlani-9813371/
"April fools right?": Shock and awe in NBA as Luka Doncic gets traded to Lakers with Anthony Davis headed to Mavericks	The deal will see Doncic join forces with LeBron James. Davis, meanwhile, links up with Kyrie Irving in Dallas. 	Updated: February 2, 2025	https://indianexpress.com/article/sports/basketball/shock-nba-as-luka-doncic-traded-to-lakers-anthony-davis-mavericks-9813337/
Eknath Shinde not on talking terms with Devendra Fadnavis, he feels cheated by BJP: Sanjay Raut	Eknath Shinde is still mourning the loss of Maharashtra chief minister's chair, Sanjay Raut wrote in his weekly column in Shiv Sena (UBT) mouthpiece 'Saamana'.	February 2, 2025	https://indianexpress.com/article/cities/pune/eknath-shinde-devendra-fadnavis-talking-terms-bjp-sanjay-raut-9813357/
‘Govts come and go, parties change &#8212; our lives remain stagnant’: Sex workers at Delhi’s GB Road	Sitting MLA, AAP’s Shoaib Iqbal, who has won the seat six times beginning in 1993, admits to The Indian Express that he’s never gone there “but we do send our volunteers to tell them which button to press and vote.”	February 2, 2025	https://indianexpress.com/article/cities/delhi/delhi-sex-workers-lives-stagnant-gb-road-9813355/
Veteran TMC MLA Nasiruddin Ahmed dies	Nasiruddin Ahmed, a lawyer-turned-legislator, had been elected to the assembly on TMC ticket for the first time in 2011 and again in 2021.	February 2, 2025	https://indianexpress.com/article/cities/kolkata/nasiruddin-ahmed-tmc-mla-dies-9813334/
DigiYatra to be operational at Pune International Airport’s new terminal from February 8	Union minister Murlidhar Mohol will roll out DigiYatra, which provides a fully biometric self-boarding system, at Pune International Airport's new terminal.	February 2, 2025	https://indianexpress.com/article/cities/pune/digiyatra-operational-pune-international-airports-terminal-february-9813338/
Amid Kerala political battle over man-animal conflict, Priyanka Gandhi’s take not in sync with Congress	While her party goes on a march to protest against the alleged failure of the state government and the Centre to protect the lives and livelihood of people, the Wayanad MP says she “will not insist” on amending the Wildlife Protection Act of 1972.	Updated: February 2, 2025	https://indianexpress.com/article/political-pulse/kerala-political-battle-man-animal-conflict-priyanka-gandhi-congress-9813320/
Policing ‘live-in’ relationships will not end intimate partner violence	We need to stop ignoring abuse, including in marriage. We need to start training boys from a young age about domestic violence and how they can break the pattern	Updated: February 2, 2025	https://indianexpress.com/article/opinion/columns/live-in-relationships-uttarakhad-ucc-9813298/
Bhumi Pednekar: "The narrative that two heroines are insecure is started by men who are not secure"	Bhumi Pednekar talks about comedy film Mere Husband Ki Biwi and potential ego clashes and insecurities between female actors working together.	February 2, 2025	https://indianexpress.com/article/entertainment/bollywood/bhumi-pednekar-the-narrative-that-two-heroines-are-insecure-is-started-by-men-who-are-not-secure-9813228/
